SrNo,Municpalties,Municpalties Seat,State
1519,Teococuilco de Marcos Pérez,Teococuilco de Marcos Pérez,Oaxaca
1520,Teotitlán de Flores Magón,Teotitlán de Flores Magón,Oaxaca
1521,Teotitlán del Valle,Teotitlán del Valle,Oaxaca
1522,Teotongo,Teotongo,Oaxaca
1523,Tepelmeme Villa de Morelos,Tepelmeme Villa de Morelos,Oaxaca
1524,Tezoatlán de Segura y Luna,Tezoatlán de Segura y Luna,Oaxaca
1525,Tlacolula de Matamoros,Tlacolula de Matamoros,Oaxaca
1526,Tlacotepec Plumas,Tlacotepec Plumas,Oaxaca
1527,Tlalixtac de Cabrera,Tlalixtac de Cabrera,Oaxaca
1528,Tlaxiaco,Tlaxiaco,Oaxaca
1529,Totontepec Villa de Morelos,Totontepec Villa de Morelos,Oaxaca
1530,Trinidad Zaachila,Trinidad Zaachila,Oaxaca
1531,Unión Hidalgo,Unión Hidalgo,Oaxaca
1532,Valerio Trujano,Valerio Trujano,Oaxaca
1533,Villa de Etla,Villa de Etla,Oaxaca
1534,Villa de Tututepec de Melchor Ocampo,Villa de Tututepec de Melchor Ocampo,Oaxaca
1535,Villa de Zaachila,Villa de Zaachila,Oaxaca
1536,Cuyamecalco Villa de Zaragoza,Cuyamecalco Villa de Zaragoza,Oaxaca
1537,Villa Díaz Ordaz,Villa Díaz Ordaz,Oaxaca
1538,Villa Hidalgo,Villa Hidalgo,Oaxaca
1539,Villa Sola de Vega,Villa Sola de Vega,Oaxaca
1540,Villa Talea de Castro,Villa Talea de Castro,Oaxaca
1541,Villa Tejupam de la Unión,Villa Tejupam de la Unión,Oaxaca
1542,Yaxe Magdalena,Yaxe Magdalena,Oaxaca
1543,Magdalena Yodocono de Porfirio Díaz,Magdalena Yodocono de Porfirio Díaz,Oaxaca
1544,Yogana,Yogana,Oaxaca
1545,Yutanduchi de Guerrero,Yutanduchi de Guerrero,Oaxaca
1546,Zapotitlán del Río,Zapotitlán del Río,Oaxaca
1547,Zapotitlán Lagunas,Zapotitlán Lagunas,Oaxaca
1548,Zapotitlán Palmas,Zapotitlán Palmas,Oaxaca
1549,Zimatlán de Alvarez,Zimatlán de Alvarez,Oaxaca
1550,Acajete,Acajete,Puebla
1551,Acateno,San José Acateno,Puebla
1552,Acatlán de Osorio,Acatlán de Osorio,Puebla
1553,Acatzingo,San Juan Acatzingo,Puebla
1554,Acteopan,Acteopan,Puebla
1555,Ahuacatlán,Ahuacatlán,Puebla
1556,Ahuatlán,Ahuatlán,Puebla
1557,Ahuazotepec,Ahuazotepec,Puebla
1558,Ahuehuetitla,Ahuehuetitla,Puebla
1559,Ajalpan,Ajalpan,Puebla
1560,Albino Zertuche,Acaxtlahuacán de Albino Zertuche,Puebla
1561,Aljojuca,Aljojuca,Puebla
1562,Altepexi,Altepexi,Puebla
1563,Amixtlan,Amixtlan,Puebla
1564,Amozoc,Amozoc de Mota,Puebla
1565,Aquixtla,Aquixtla,Puebla
1566,Atempan,Atempan,Puebla
1567,Atexcal,San Martín Atexcal,Puebla
1568,Atlequizayan,Atlequizayan,Puebla
1569,Atlixco,Atlixco,Puebla
1570,Atoyatempan,Atoyatempan,Puebla
1571,Atzala,Atzala,Puebla
1572,Atzitzihuacán,Santiago Atzitzihuacán,Puebla
1573,Atzitzintla,Atzitzintla,Puebla
1574,Axutla,Axutla,Puebla
1575,Ayotoxco de Guerrero,Ayotoxco de Guerrero,Puebla
1576,Calpan,San Andrés Calpan,Puebla
1577,Caltepec,Caltepec,Puebla
1578,Camocuautla,Camocuautla,Puebla
1579,Cañada Morelos,Morelos Cañada,Puebla
1580,Caxhuacán,Caxhuacán,Puebla
1581,Chalchicomula de Sesma,Ciudad Serdán,Puebla
1582,Chapulco,Chapulco,Puebla
1583,Chiautla,Chiautla de Tapia,Puebla
1584,Chiautzingo,San Lorenzo Chiautzingo,Puebla
1585,Chichiquila,Chichiquila,Puebla
1586,Chiconcuautla,Chiconcuautla,Puebla
1587,Chietla,Chietla,Puebla
1588,Chigmecatitlán,Chigmecatitlán,Puebla
1589,Chignahuapan,Chignahuapan,Puebla
1590,Chignautla,Chignautla,Puebla
1591,Chila,Chila,Puebla
1592,Chila de la Sal,Chila de la Sal,Puebla
1593,Chilchotla,Rafael J. García,Puebla
1594,Chinantla,Chinantla,Puebla
1595,Coatepec,Coatepec,Puebla
1596,Coatzingo,Coatzingo,Puebla
1597,Cohetzala,Santa María Cohetzala,Puebla
1598,Cohuecán,Cohuecán,Puebla
1599,Coronango,Santa María Coronango,Puebla
1600,Coxcatlán,Coxcatlán,Puebla
1601,Coyomeapan,Santa María Coyomeapan,Puebla
1602,Coyotepec,San Vicente Coyotepec,Puebla
1603,Cuapiaxtla de Madero,Cuapiaxtla de Madero,Puebla
1604,Cuautempan,San Esteban Cuautempan,Puebla
1605,Cuautinchan,Cuautinchan,Puebla
1606,Cuautlancingo,San Juan Cuautlancingo,Puebla
1607,Cuayuca de Andrade,San Pedro Cuayuca,Puebla
1608,Cuetzalán del Progreso,Cuetzalán,Puebla
1609,Cuyoaco,Cuyoaco,Puebla
1610,Domingo Arenas,Domingo Arenas,Puebla
1611,Eloxochitlán,Eloxochitlán,Puebla
1612,Epatlán,San Juan Epatlán,Puebla
1613,Esperanza,Esperanza,Puebla
1614,Francisco Z. Mena,Metlaltoyuca,Puebla
1615,General Felipe Ángeles,San Pablo de las Tunas,Puebla
1616,Guadalupe,Guadalupe,Puebla
1617,Guadalupe Victoria,Guadalupe Victoria,Puebla
1618,Hermenegildo Galeana,Bienvenido,Puebla
1619,Honey,Honey,Puebla
1620,Huaquechula,Huaquechula,Puebla
1621,Huatlatlauca,Huatlatlauca,Puebla
1622,Huauchinango,Huauchinango,Puebla
1623,Huehuetla,Huehuetla,Puebla
1624,Huehuetlán El Chico,Huehuetlán El Chico,Puebla
1625,Huehuetlán El Grande,Santo Domingo Huehuetlán,Puebla
1626,Huejotzingo,Huejotzingo,Puebla
1627,Hueyapan,Hueyapan,Puebla
1628,Hueytamalco,Hueytamalco,Puebla
1629,Hueytlalpan,Hueytlalpan,Puebla
1630,Huitzilan de Serdán,Huitzilan,Puebla
1631,Huitziltepec,Santa Clara Huitziltepec,Puebla
1632,Ixcamilpa,Ixcamilpa,Puebla
1633,Ixcaquixtla,San Juan Ixcaquixtla,Puebla
1634,Ixtacamaxtitlán,Ixtacamaxtitlán,Puebla
1635,Ixtepec,Ixtepec,Puebla
1636,Izúcar de Matamoros,Izúcar de Matamoros,Puebla
1637,Jalpan,Jalpan,Puebla
1638,Jolalpan,Jolalpan,Puebla
1639,Jopala,Jopala,Puebla
1640,Juan C. Bonilla,Cuanalá,Puebla
1641,Juan Galindo,Nuevo Necaxa,Puebla
1642,Juan N. Méndez,Atenayuca,Puebla
1643,Lafragua,Saltillo,Puebla
1644,Libres,San Juan de los Llanos,Puebla
1645,La Magdalena Tlatlauquitepec,La Magdalena Tlatlauquitepec,Puebla
1646,Los Reyes de Juárez,Los Reyes de Juárez,Puebla
1647,Mazapiltepec de Juárez,Mazapiltepec de Juárez,Puebla
1648,Mixtla,San Francisco Mixtla,Puebla
1649,Molcaxac,Molcaxac,Puebla
1650,Naupan,Naupan,Puebla
1651,Nauzontla,Nauzontla,Puebla
1652,Nealticán,San Buenaventura Nealticán,Puebla
1653,Nicolás Bravo,Nicolás Bravo,Puebla
1654,Nopalucan,Nopalucan de la Granja,Puebla
1655,Ocotepec,Ocotepec,Puebla
1656,Ocoyucan,Santa Clara Ocoyucan,Puebla
1657,Olintla,Olintla,Puebla
1658,Oriental,Oriental,Puebla
1659,Pahuatlán,Pahuatlán de Valle,Puebla
1660,Palmar de Bravo,Palmar de Bravo,Puebla
1661,Pantepec,Pantepec,Puebla
1662,Petlalcingo,Petlalcingo,Puebla
1663,Piaxtla,Piaxtla,Puebla
1664,Puebla,Puebla de los Ángeles,Puebla
1665,Quecholac,Quecholac,Puebla
1666,Quimixtlán,Quimixtlán,Puebla
1667,Rafael Lara Grajales,Rafael Lara Grajales,Puebla
1668,San Andrés Cholula,San Andrés Cholula,Puebla
1669,San Antonio Cañada,San Antonio Cañada,Puebla
1670,San Diego La Meza Tochimiltzingo,Tochimiltzingo,Puebla
1671,San Felipe Teotlalcingo,San Felipe Teotlalcingo,Puebla
1672,San Felipe Tepatlán,San Felipe Tepatlán,Puebla
1673,San Gabriel Chilac,San Gabriel Chilac,Puebla
1674,San Gregorio Atzompa,San Gregorio Atzompa,Puebla
1675,San Jerónimo Tecuanipan,San Jerónimo Tecuanipan,Puebla
1676,San Jerónimo Xayacatlán,San Jerónimo Xayacatlán,Puebla
1677,San José Chiapa,San José Chiapa,Puebla
1678,San José Miahuatlán,San José Miahuatlán,Puebla
1679,San Juan Atenco,San Juan Atenco,Puebla
1680,San Juan Atzompa,San Juan Atzompa,Puebla
1681,San Martín Texmelucan,San Martín Texmelucan,Puebla
1682,San Martín Totoltepec,San Martín Totoltepec,Puebla
1683,San Matías Tlalancaleca,San Matías Tlalancaleca,Puebla
1684,San Miguel Ixitlán,San Miguel Ixitlán,Puebla
1685,San Miguel Xoxtla,San Miguel Xoxtla,Puebla
1686,San Nicolás de Buenos Aires,San Nicolás de Buenos Aires,Puebla
1687,San Nicolás de los Ranchos,San Nicolás de los Ranchos,Puebla
1688,San Pablo Anicano,San Pablo Anicano,Puebla
1689,San Pedro Cholula,Cholula de Rivadabia,Puebla
1690,San Pedro Yeloixtlahuacan,San Pedro Yeloixtlahuacan,Puebla
1691,San Salvador El Seco,San Salvador El Seco,Puebla
1692,San Salvador El Verde,San Salvador El Verde,Puebla
1693,San Salvador Huixcolotla,San Salvador Huixcolotla,Puebla
1694,San Sebastián Tlacotepec,Tlacotepec de Díaz,Puebla
1695,Santa Catarina Tlaltempan,Santa Catarina Tlaltempan,Puebla
1696,Santa Inés Ahuatempan,Santa Inés Ahuatempan,Puebla
1697,Santa Isabel Cholula,Santa Isabel Cholula,Puebla
1698,Santiago Miahuatlán,Santiago Miahuatlán,Puebla
1699,Santo Tomás Hueyotlipán,Santo Tomás Hueyotlipán,Puebla
1700,Soltepec,Soltepec,Puebla
1701,Tecali,Tecali,Puebla
1702,Tecamachalco,Tecamachalco,Puebla
1703,Tecomatlán,Tecomatlán,Puebla
1704,Tehuacán,Tehuacán,Puebla
1705,Tehuitzingo,Tehuitzingo,Puebla
1706,Tenampulco,Tenampulco,Puebla
1707,Teopantlán,Teopantlán,Puebla
1708,Teotlalco,Teotlalco,Puebla
1709,Tepanco de López,Tepanco de López,Puebla
1710,Tepango de Rodríguez,Tepango de Rodríguez,Puebla
1711,Tepatlaxco de Hidalgo,Tepatlaxco de Hidalgo,Puebla
1712,Tepeaca,Tepeaca,Puebla
1713,Tepemaxalco,San Felipe Tepemaxalco,Puebla
1714,Tepeojuma,Tepeojuma,Puebla
1715,Tepetzintla,Tepetzintla,Puebla
1716,Tepexco,Tepexco,Puebla
1717,Tepexi de Rodríguez,Tepexi de Rodríguez,Puebla
1718,Tepeyahualco,Tepeyahualco,Puebla
1719,Tepeyahualco de Cuauhtémoc,Tepeyahualco de Cuauhtémoc,Puebla
1720,Tetela de Ocampo,Tetela de Ocampo,Puebla
1721,Teteles de Ávila Castillo,Teteles de Ávila Castillo,Puebla
1722,Tezuitlán,Teziutlán,Puebla
1723,Tianguismanalco,Tianguismanalco,Puebla
1724,Tilapa,Tilapa,Puebla
1725,Tlachichuca,Tlachichuca,Puebla
1726,Tlacotepec de Benito Juárez,Tlacotepec de Benito Juárez,Puebla
1727,Tlacuilotepec,Tlacuilotepec,Puebla
1728,Tlahuapan,Santa Rita Tlahuapan,Puebla
1729,Tlaltenango,Tlaltenango,Puebla
1730,Tlanepantla,Tlanepantla,Puebla
1731,Tlaola,Tlaola,Puebla
1732,Tlapacoya,Tlapacoya,Puebla
1733,Tlapanalá,Tlapanalá,Puebla
1734,Tlatlauquitepec,Tlatlauquitepec,Puebla
1735,Tlaxco,Tlaxco,Puebla
1736,Tochimilco,Tochimilco,Puebla
1737,Tochtepec,Tochtepec,Puebla
1738,Totoltepec de Guerrero,Totoltepec de Guerrero,Puebla
1739,Tulcingo,Tulcingo de Valle,Puebla
1740,Tuzamapán de Galeana,Tuzamapán de Galeana,Puebla
1741,Tzicatlacoyan,Tzicatlacoyan,Puebla
1742,Venustiano Carranza,Venustiano Carranza,Puebla
1743,Vicente Guerrero,Santa María del Monte,Puebla
1744,Xayacatlán de Bravo,Xayacatlán de Bravo,Puebla
1745,Xicotepec,Xicotepec de Juárez,Puebla
1746,Xicotlán,Xicotlán,Puebla
1747,Xiutetelco,San Juan Xiutetelco,Puebla
1748,Xochiapulco,Cinco de Mayo,Puebla
1749,Xochiltepec,Xochiltepec,Puebla
1750,Xochitlán de Vicente Suárez,Xochitlán de Romero Rubio,Puebla
1751,Xochitlán Todos Santos,Xochitlán,Puebla
1752,Xonotla,Xonotla,Puebla
1753,Yaonahuac,Yaonahuac,Puebla
1754,Yehualtepec,Yehualtepec,Puebla
1755,Zacapala,Zacapala,Puebla
1756,Zacapoaxtla,Zacapoaxtla,Puebla
1757,Zacatlán,Zacatlán,Puebla
1758,Zapotitlán,Zapotitlán Salinas,Puebla
1759,Zapotitlán de Méndez,Zapotitlán de Méndez,Puebla
1760,Zaragoza,Zaragoza,Puebla
1761,Zautla,Santiago Zautla,Puebla
1762,Zihuateutla,Zihuateutla,Puebla
1763,Zinacatepec,San Sebastián Zinacatepec,Puebla
1764,Zongozotla,Zongozotla,Puebla
1765,Zoquiapan,Zoquiapan,Puebla
1766,Zoquitlán,Zoquitlán,Puebla
1767,Amealco de Bonfil Municipality,Amealco,Querétaro
1768,Pinal de Amoles Municipality,Pinal de Amoles,Querétaro
1769,Arroyo Seco Municipality,Arroyo Seco,Querétaro
1770,Cadereyta de Montes Municipality,Cadereyta,Querétaro
1771,Colón Municipality,Colón,Querétaro
1772,Corregidora Municipality,El Pueblito,Querétaro
1773,Ezequiel Montes Municipality,Ezequiel Montes,Querétaro
1774,Huimilpan Municipality,Huimilpan,Querétaro
1775,Jalpan de Serra Municipality,Jalpan,Querétaro
1776,Landa de Matamoros Municipality,Landa de Matamoros,Querétaro
1777,El Marqués Municipality,La Cañada,Querétaro
1778,Pedro Escobedo Municipality,Pedro Escobedo,Querétaro
1779,Peñamiller Municipality,Peñamiller,Querétaro
1780,Querétaro Municipality,Santiago de Querétaro,Querétaro
1781,San Joaquín Municipality,San Joaquín,Querétaro
1782,San Juan del Río Municipality,San Juan del Río,Querétaro
1783,Tequisquiapan Municipality,Tequisquiapan,Querétaro
1784,Tolimán Municipality,Tolimán,Querétaro
1785,Cozumel,San Miguel de Cozumel,Quintana Roo
1786,Felipe Carrillo Puerto,Felipe Carrillo Puerto,Quintana Roo
1787,Isla Mujeres,Isla Mujeres,Quintana Roo
1788,Othón P. Blanco,Chetumal,Quintana Roo
1789,Benito Juárez,Cancún,Quintana Roo
1790,José María Morelos,José María Morelos,Quintana Roo
1791,Lázaro Cárdenas,Kantunilkín,Quintana Roo
1792,Solidaridad,Playa del Carmen,Quintana Roo
1793,Tulum,Tulum,Quintana Roo
1794,Bacalar,Bacalar,Quintana Roo
1795,Puerto Morelos,Puerto Morelos,Quintana Roo
1796,Ahualulco,Ahualulco,San Luis Potosí
1797,Alaquines,Alaquines,San Luis Potosí
1798,Aquismón,Aquismón,San Luis Potosí
1799,Armadillo de los Infante,Armadillo de los Infante,San Luis Potosí
1800,Axtla de Terrazas,Axtla de Terrazas,San Luis Potosí
1801,Cárdenas,Cárdenas,San Luis Potosí
1802,Catorce,Real de Catorce,San Luis Potosí
1803,Cedral,Cedral,San Luis Potosí
1804,Cerritos,Cerritos,San Luis Potosí
1805,Cerro de San Pedro,Cerro de San Pedro,San Luis Potosí
1806,Charcas,Charcas,San Luis Potosí
1807,Ciudad del Maíz,Ciudad del Maíz,San Luis Potosí
1808,Ciudad Fernández,Ciudad Fernández,San Luis Potosí
1809,Ciudad Valles,Ciudad Valles,San Luis Potosí
1810,Coxcatlán,Coxcatlán,San Luis Potosí
1811,Ebano,Ebano,San Luis Potosí
1812,El Naranjo,El Naranjo,San Luis Potosí
1813,Guadalcázar,Guadalcázar,San Luis Potosí
1814,Huehuetlán,Huehuetlán,San Luis Potosí
1815,Lagunillas,Lagunillas,San Luis Potosí
1816,Matehuala,Matehuala,San Luis Potosí
1817,Matlapa,Matlapa,San Luis Potosí
1818,Mexquitic de Carmona,Mexquitic de Carmona,San Luis Potosí
1819,Moctezuma,Moctezuma,San Luis Potosí
1820,Rayón,Rayón,San Luis Potosí
1821,Rioverde,Rioverde,San Luis Potosí
1822,Salinas,Salinas de Hidalgo,San Luis Potosí
1823,San Antonio,San Antonio,San Luis Potosí
1824,San Ciro de Acosta,San Ciro de Acosta,San Luis Potosí
1825,San Luis Potosí,San Luis Potosí,San Luis Potosí
1826,San Martín Chalchicuautla,San Martín Chalchicuautla,San Luis Potosí
1827,San Nicolás Tolentino,San Nicolás Tolentino,San Luis Potosí
1828,Santa Catarina,Santa Catarina,San Luis Potosí
1829,Santa María del Río,Santa María del Río,San Luis Potosí
1830,Santo Domingo,Santo Domingo,San Luis Potosí
1831,San Vicente Tancuayalab,San Vicente Tancuayalab,San Luis Potosí
1832,Soledad de Graciano Sánchez,Soledad de Graciano Sánchez,San Luis Potosí
1833,Tamasopo,Tamasopo,San Luis Potosí
1834,Tamazunchale,Tamazunchale,San Luis Potosí
1835,Tampacan,Tampacan,San Luis Potosí
1836,Tampamolón Corona,Tampamolón Corona,San Luis Potosí
1837,Tamuín,Tamuín,San Luis Potosí
1838,Tancanhuitz de Santos,Tancanhuitz de Santos,San Luis Potosí
1839,Tanlajás,Tanlajás,San Luis Potosí
1840,Tanquián de Escobedo,Tanquián de Escobedo,San Luis Potosí
1841,Tierra Nueva,Tierra Nueva (town),San Luis Potosí
1842,Vanegas,Vanegas,San Luis Potosí
1843,Venado,Venado,San Luis Potosí
1844,Villa de Arista,Villa de Arista,San Luis Potosí
1845,Villa de Arriaga,Villa de Arriaga,San Luis Potosí
1846,Villa de Guadalupe,Villa de Guadalupe,San Luis Potosí
1847,Villa de La Paz,Villa de La Paz,San Luis Potosí
1848,Villa de Ramos,Villa de Ramos,San Luis Potosí
1849,Villa de Reyes,Villa de Reyes,San Luis Potosí
1850,Villa de Hidalgo,Villa de Hidalgo,San Luis Potosí
1851,Villa Juárez,Villa Juárez,San Luis Potosí
1852,Xilitla,Xilitla,San Luis Potosí
1853,Zaragoza,Villa de Zaragoza,San Luis Potosí
1854,Ahome,Los Mochis,Sinaloa
1855,Angostura,Angostura,Sinaloa
1856,Badiraguato,Badiraguato,Sinaloa
1857,Concordia,Concordia,Sinaloa
1858,Cosalá,Cosalá,Sinaloa
1859,Culiacán,Culiacán,Sinaloa
1860,Choix,Choix,Sinaloa
1861,Elota,La Cruz,Sinaloa
1862,Escuinapa,Escuinapa,Sinaloa
1863,El Fuerte,El Fuerte,Sinaloa
1864,Guasave,Guasave,Sinaloa
1865,Mazatlán,Mazatlán,Sinaloa
1866,Mocorito,Mocorito,Sinaloa
1867,Rosario,Rosario,Sinaloa
1868,Salvador Alvarado,Guamúchil,Sinaloa
1869,San Ignacio,San Ignacio,Sinaloa
1870,Sinaloa,Sinaloa de Leyva,Sinaloa
1871,Navolato,Navolato,Sinaloa
1872,Aconchi,Aconchi,Sonora
1873,Agua Prieta,Agua Prieta,Sonora
1874,Álamos,Álamos,Sonora
1875,Altar,Altar,Sonora
1876,Arivechi,Arivechi,Sonora
1877,Arizpe,Arizpe,Sonora
1878,Atil,Atil,Sonora
1879,Bacadéhuachi,Bacadéhuachi,Sonora
1880,Bacanora,Bacanora,Sonora
1881,Bacerac,Bacerac,Sonora
1882,Bacoachi,Bacoachi,Sonora
1883,Bácum,Bácum,Sonora
1884,Banámichi,Banámichi,Sonora
1885,Baviácora,Baviácora,Sonora
1886,Bavispe,Bavispe,Sonora
1887,Benito Juárez,Villa Juárez,Sonora
1888,Benjamín Hill,Benjamín Hill,Sonora
1889,Caborca,Heroica Caborca,Sonora
1890,Cajeme,Ciudad Obregón,Sonora
1891,Cananea,Cananea,Sonora
1892,Carbó,Carbó,Sonora
1893,Cucurpe,Cucurpe,Sonora
1894,Cumpas,Cumpas,Sonora
1895,Divisaderos,Divisaderos,Sonora
1896,Empalme,Empalme,Sonora
1897,Etchojoa,Etchojoa,Sonora
1898,Fronteras,Fronteras,Sonora
1899,Granados,Granados,Sonora
1900,Guaymas,Guaymas,Sonora
1901,Hermosillo,Hermosillo,Sonora
1902,Huachinera,Huachinera,Sonora
1903,Huásabas,Huásabas,Sonora
1904,Huatabampo,Huatabampo,Sonora
1905,Huépac,Huépac,Sonora
1906,Imuris,Imuris,Sonora
1907,La Colorada,La Colorada,Sonora
1908,Magdalena de Kino,Magdalena de Kino,Sonora
1909,Mazatán,Mazatán,Sonora
1910,Moctezuma,Moctezuma,Sonora
1911,Naco,Naco,Sonora
1912,Nácori Chico,Nácori Chico,Sonora
1913,Nacozari de García,Nacozari de García,Sonora
1914,Navojoa,Navojoa,Sonora
1915,Nogales,Nogales,Sonora
1916,Onavas,Onavas,Sonora
1917,Opodepe,Opodepe,Sonora
1918,Oquitoa,Oquitoa,Sonora
1919,Pitiquito,Pitiquito,Sonora
1920,Puerto Peñasco,Puerto Peñasco,Sonora
1921,Plutarco Elías Calles,Sonoyta,Sonora
1922,Quiriego,Quiriego,Sonora
1923,Rayón,Rayón,Sonora
1924,Rosario de Tesopaco,Rosario de Tesopaco,Sonora
1925,Sahuaripa,Sahuaripa,Sonora
1926,San Felipe de Jesús,San Felipe de Jesús,Sonora
1927,San Ignacio Río Muerto,San Ignacio Río Muerto,Sonora
1928,San Javier,San Javier,Sonora
1929,San Luis Río Colorado,San Luis Río Colorado,Sonora
1930,San Miguel de Horcasitas,San Miguel de Horcasitas,Sonora
1931,San Pedro de la Cueva,San Pedro de la Cueva,Sonora
1932,Santa Ana,Santa Ana,Sonora
1933,Santa Cruz,Santa Cruz,Sonora
1934,Sáric,Sáric,Sonora
1935,Soyopa,Soyopa,Sonora
1936,Suaqui Grande,Suaqui Grande,Sonora
1937,Tepache,Tepache,Sonora
1938,Trincheras,Trincheras,Sonora
1939,Tubutama,Tubutama,Sonora
1940,Ures,Ures,Sonora
1941,Villa Hidalgo,Villa Hidalgo,Sonora
1942,Villa Pesqueira,Villa Pesqueira,Sonora
1943,Yécora,Yécora,Sonora
1944,Balancán,Balancán,Tabasco
1945,Cárdenas,Cárdenas,Tabasco
1946,Centla,Frontera,Tabasco
1947,Centro,Villahermosa,Tabasco
1948,Comalcalco,Comalcalco,Tabasco
1949,Cunduacán,Cunduacán,Tabasco
1950,Emiliano Zapata,Emiliano Zapata,Tabasco
1951,Huimanguillo,Huimanguillo,Tabasco
1952,Jalapa,Jalapa,Tabasco
1953,Jalpa de Méndez,Jalpa de Méndez,Tabasco
1954,Jonuta,Jonuta,Tabasco
1955,Macuspana,Macuspana,Tabasco
1956,Nacajuca,Nacajuca,Tabasco
1957,Paraíso,Paraíso,Tabasco
1958,Tacotalpa,Tacotalpa,Tabasco
1959,Teapa,Teapa,Tabasco
1960,Tenosique,Tenosique de Pino Suárez,Tabasco
1961,Abasolo,Abasolo,Tamaulipas
1962,Aldama,Aldama,Tamaulipas
1963,Altamira,Altamira,Tamaulipas
1964,Antiguo Morelos,Antiguo Morelos,Tamaulipas
1965,Burgos,Burgos,Tamaulipas
1966,Bustamante,Bustamante,Tamaulipas
1967,Camargo,Ciudad Camargo,Tamaulipas
1968,Casas,Casas,Tamaulipas
1969,Ciudad Madero,Ciudad Madero,Tamaulipas
1970,Cruillas,Cruillas,Tamaulipas
1971,Gómez Farías,Gómez Farías,Tamaulipas
1972,González,González,Tamaulipas
1973,Güémez,Güémez,Tamaulipas
1974,Guerrero,Nueva Ciudad Guerrero,Tamaulipas
1975,Gustavo Díaz Ordaz,Gustavo Díaz Ordaz,Tamaulipas
1976,Hidalgo,Villa de Hidalgo,Tamaulipas
1977,Juamave,Juamave,Tamaulipas
1978,Jiménez,Santander Jiménez,Tamaulipas
1979,Llera,Llera,Tamaulipas
1980,Mainero,Mainero,Tamaulipas
1981,El Mante,Ciudad Mante,Tamaulipas
1982,Matamoros,Matamoros,Tamaulipas
1983,Méndez,Méndez,Tamaulipas
1984,Mier,Ciudad Mier,Tamaulipas
1985,Miguel Alemán,Ciudad Miguel Alemán,Tamaulipas
1986,Miquihuana,Miquihuana,Tamaulipas
1987,Nuevo Laredo,Nuevo Laredo,Tamaulipas
1988,Nuevo Morelos,Nuevo Morelos,Tamaulipas
1989,Ocampo,Ocampo,Tamaulipas
1990,Padilla,Nuevo Padilla,Tamaulipas
1991,Palmillas,Villa de Palmillas,Tamaulipas
1992,Reynosa,Reynosa,Tamaulipas
1993,Río Bravo,Río Bravo,Tamaulipas
1994,San Carlos,San Carlos,Tamaulipas
1995,San Fernando,San Fernando,Tamaulipas
1996,San Nicolás,San Nicolás,Tamaulipas
1997,Soto la Marina,Villa Soto la Marina,Tamaulipas
1998,Tampico,Tampico,Tamaulipas
1999,Tula,Tula,Tamaulipas
2000,Valle Hermoso,Ciudad de Valle Hermoso,Tamaulipas
2001,Victoria,Ciudad Victoria,Tamaulipas
2002,Villagrán,Villagrán,Tamaulipas
2003,Xicoténcatl,Xicoténcatl,Tamaulipas
2004,Acuamanala de Miguel Hidalgo,Acuamanala,Tlaxcala
2005,Altzayanca,Atlzayanca,Tlaxcala
2006,Amaxac de Guerrero,Amaxac de Guerrero,Tlaxcala
2007,Apetatitlán de Antonio Carvajal,Apetatitlán,Tlaxcala
2008,Apizaco,Apizaco,Tlaxcala
2009,Atlangatepec,Atlangatepec,Tlaxcala
2010,Benito Juárez,Benito Juárez,Tlaxcala
2011,Calpulalpan,Calpulalpan,Tlaxcala
2012,Chiautempan,Santa Ana Chiautempan,Tlaxcala
2013,Contla de Juan Cuamatzi,Contla,Tlaxcala
2014,Cuapiaxtla,Cuapiaxtla,Tlaxcala
2015,Cuaxomulco,Cuaxomulco,Tlaxcala
2016,El Carmen Tequexquitla,Tequixquitla,Tlaxcala
2017,Emiliano Zapata,Emiliano Zapata,Tlaxcala
2018,Españita,Españita,Tlaxcala
2019,Huamantla,Huamantla,Tlaxcala
2020,Hueyotlipan,Hueyotlipan,Tlaxcala
2021,Ixtacuixtla de Mariano Matamoros,Villa Mariano Matamoros,Tlaxcala
2022,Ixtenco,Ixtenco,Tlaxcala
2023,La Magdalena Tlaltelulco,La Magdalena Tlaltelulco,Tlaxcala
2024,Lázaro Cárdenas,Lázaro Cárdenas,Tlaxcala
2025,Mazatecochco de José María Morelos,Mazatecochco,Tlaxcala
2026,Muñoz de Domingo Arenas,Muñoz,Tlaxcala
2027,Nanacamilpa de Mariano Arista,Nanacamilpa,Tlaxcala
2028,Nativitas,Nativitas,Tlaxcala
2029,Panotla,Panotla,Tlaxcala
2030,Papalotla de Xicohtencatl,Papalotla,Tlaxcala
2031,Sanctorum de Lázaro Cárdenas,Sanctorum,Tlaxcala
2032,San Damián Texoloc,San Damián Texoloc,Tlaxcala
2033,San Francisco Tetlanohcan,San Francisco Tetlanohcan,Tlaxcala
2034,San Jerónimo Zacualpan,San Jerónimo Zacualpan,Tlaxcala
2035,San José Teacalco,San José Teacalco,Tlaxcala
2036,San Juan Huactzinco,San Juan Huactzinco,Tlaxcala
2037,San Lorenzo Axocomanitla,San Lorenzo Axocomanitla,Tlaxcala
2038,San Lucas Tecopilco,San Lucas Tecopilco,Tlaxcala
2039,San Pablo del Monte,Villa Vicente Guerrero,Tlaxcala
2040,Santa Ana Nopalucan,Santa Ana Nopalucan,Tlaxcala
